platform,publisher,kind,field,presence_rate,n_items
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,activity,0.0,500
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,category,1.0,500
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,organizer,0.662,500
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,offers,1.0,500
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,location,1.0,500
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,name,1.0,500
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,description,0.0,500
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,eventSchedule,1.0,500
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,ageRange,0.0,500
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,genderRestriction,0.662,500
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,level,0.0,500
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,url,1.0,500
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,attendeeInstructions,0.886,500
opendata.leisurecloud.live,Active Hartlepool,SessionSeries,superEvent,0.338,500
opendata.leisurecloud.live,Active Hartlepool,ScheduledSession,activity,0.0,500
opendata.leisurecloud.live,Active Hartlepool,ScheduledSession,category,0.0,500
opendata.leisurecloud.live,Active Hartlepool,ScheduledSession,organizer,0.0,500
opendata.leisurecloud.live,Active Hartlepool,ScheduledSession,offers,0.0,500
opendata.leisurecloud.live,Active Hartlepool,ScheduledSession,location,0.0,500
opendata.leisurecloud.live,Active Hartlepool,ScheduledSession,name,0.0,500
opendata.leisurecloud.live,Active Hartlepool,ScheduledSession,description,0.0,500
opendata.leisurecloud.live,Active Hartlepool,ScheduledSession,eventSchedule,0.0,500
opendata.leisurecloud.live,Active Hartlepool,ScheduledSession,ageRange,0.0,500
opendata.leisurecloud.live,Active Hartlepool,ScheduledSession,genderRestriction,0.0,500
opendata.leisurecloud.live,Active Hartlepool,ScheduledSession,level,0.0,500
opendata.leisurecloud.live,Active Hartlepool,ScheduledSession,url,0.0,500
opendata.leisurecloud.live,Active Hartlepool,ScheduledSession,attendeeInstructions,0.0,500
opendata.leisurecloud.live,Active Hartlepool,ScheduledSession,superEvent,1.0,500
opendata.leisurecloud.live,Active Hartlepool,FacilityUse,activity,0.0,31
opendata.leisurecloud.live,Active Hartlepool,FacilityUse,category,1.0,31
opendata.leisurecloud.live,Active Hartlepool,FacilityUse,organizer,0.0,31
opendata.leisurecloud.live,Active Hartlepool,FacilityUse,offers,1.0,31
opendata.leisurecloud.live,Active Hartlepool,FacilityUse,location,1.0,31
opendata.leisurecloud.live,Active Hartlepool,FacilityUse,name,1.0,31
opendata.leisurecloud.live,Active Hartlepool,FacilityUse,description,0.0,31
opendata.leisurecloud.live,Active Hartlepool,FacilityUse,eventSchedule,0.0,31
opendata.leisurecloud.live,Active Hartlepool,FacilityUse,ageRange,0.0,31
opendata.leisurecloud.live,Active Hartlepool,FacilityUse,genderRestriction,0.0,31
opendata.leisurecloud.live,Active Hartlepool,FacilityUse,level,0.0,31
opendata.leisurecloud.live,Active Hartlepool,FacilityUse,url,1.0,31
opendata.leisurecloud.live,Active Hartlepool,FacilityUse,attendeeInstructions,0.5161,31
opendata.leisurecloud.live,Active Hartlepool,FacilityUse,superEvent,0.0,31
opendata.leisurecloud.live,Active Leeds,SessionSeries,activity,0.0,500
opendata.leisurecloud.live,Active Leeds,SessionSeries,category,1.0,500
opendata.leisurecloud.live,Active Leeds,SessionSeries,organizer,1.0,500
opendata.leisurecloud.live,Active Leeds,SessionSeries,offers,0.998,500
opendata.leisurecloud.live,Active Leeds,SessionSeries,location,1.0,500
opendata.leisurecloud.live,Active Leeds,SessionSeries,name,1.0,500
opendata.leisurecloud.live,Active Leeds,SessionSeries,description,0.0,500
opendata.leisurecloud.live,Active Leeds,SessionSeries,eventSchedule,1.0,500
opendata.leisurecloud.live,Active Leeds,SessionSeries,ageRange,0.0,500
opendata.leisurecloud.live,Active Leeds,SessionSeries,genderRestriction,1.0,500
opendata.leisurecloud.live,Active Leeds,SessionSeries,level,0.0,500
opendata.leisurecloud.live,Active Leeds,SessionSeries,url,1.0,500
opendata.leisurecloud.live,Active Leeds,SessionSeries,attendeeInstructions,0.836,500
opendata.leisurecloud.live,Active Leeds,SessionSeries,superEvent,0.0,500
opendata.leisurecloud.live,Active Leeds,ScheduledSession,activity,0.0,500
opendata.leisurecloud.live,Active Leeds,ScheduledSession,category,0.0,500
opendata.leisurecloud.live,Active Leeds,ScheduledSession,organizer,0.0,500
opendata.leisurecloud.live,Active Leeds,ScheduledSession,offers,0.0,500
opendata.leisurecloud.live,Active Leeds,ScheduledSession,location,0.0,500
opendata.leisurecloud.live,Active Leeds,ScheduledSession,name,0.0,500
opendata.leisurecloud.live,Active Leeds,ScheduledSession,description,0.0,500
opendata.leisurecloud.live,Active Leeds,ScheduledSession,eventSchedule,0.0,500
opendata.leisurecloud.live,Active Leeds,ScheduledSession,ageRange,0.0,500
opendata.leisurecloud.live,Active Leeds,ScheduledSession,genderRestriction,0.0,500
opendata.leisurecloud.live,Active Leeds,ScheduledSession,level,0.0,500
opendata.leisurecloud.live,Active Leeds,ScheduledSession,url,0.0,500
opendata.leisurecloud.live,Active Leeds,ScheduledSession,attendeeInstructions,0.0,500
opendata.leisurecloud.live,Active Leeds,ScheduledSession,superEvent,1.0,500
opendata.leisurecloud.live,Active Leeds,FacilityUse,activity,0.0,80
opendata.leisurecloud.live,Active Leeds,FacilityUse,category,1.0,80
opendata.leisurecloud.live,Active Leeds,FacilityUse,organizer,0.0,80
opendata.leisurecloud.live,Active Leeds,FacilityUse,offers,1.0,80
opendata.leisurecloud.live,Active Leeds,FacilityUse,location,1.0,80
opendata.leisurecloud.live,Active Leeds,FacilityUse,name,1.0,80
opendata.leisurecloud.live,Active Leeds,FacilityUse,description,0.0,80
opendata.leisurecloud.live,Active Leeds,FacilityUse,eventSchedule,0.0,80
opendata.leisurecloud.live,Active Leeds,FacilityUse,ageRange,0.0,80
opendata.leisurecloud.live,Active Leeds,FacilityUse,genderRestriction,0.0,80
opendata.leisurecloud.live,Active Leeds,FacilityUse,level,0.0,80
opendata.leisurecloud.live,Active Leeds,FacilityUse,url,1.0,80
opendata.leisurecloud.live,Active Leeds,FacilityUse,attendeeInstructions,0.4625,80
opendata.leisurecloud.live,Active Leeds,FacilityUse,superEvent,0.0,80
opendata.leisurecloud.live,Active Leeds,Slot,activity,0.0,500
opendata.leisurecloud.live,Active Leeds,Slot,category,0.0,500
opendata.leisurecloud.live,Active Leeds,Slot,organizer,0.0,500
opendata.leisurecloud.live,Active Leeds,Slot,offers,1.0,500
opendata.leisurecloud.live,Active Leeds,Slot,location,0.0,500
opendata.leisurecloud.live,Active Leeds,Slot,name,0.0,500
opendata.leisurecloud.live,Active Leeds,Slot,description,0.0,500
opendata.leisurecloud.live,Active Leeds,Slot,eventSchedule,0.0,500
opendata.leisurecloud.live,Active Leeds,Slot,ageRange,0.0,500
opendata.leisurecloud.live,Active Leeds,Slot,genderRestriction,0.0,500
opendata.leisurecloud.live,Active Leeds,Slot,level,0.0,500
opendata.leisurecloud.live,Active Leeds,Slot,url,0.0,500
opendata.leisurecloud.live,Active Leeds,Slot,attendeeInstructions,0.0,500
opendata.leisurecloud.live,Active Leeds,Slot,superEvent,0.0,500
opendata.leisurecloud.live,Birmingham City Council,SessionSeries,activity,0.0,126
opendata.leisurecloud.live,Birmingham City Council,SessionSeries,category,1.0,126
opendata.leisurecloud.live,Birmingham City Council,SessionSeries,organizer,0.6271,126
opendata.leisurecloud.live,Birmingham City Council,SessionSeries,offers,1.0,126
opendata.leisurecloud.live,Birmingham City Council,SessionSeries,location,1.0,126
opendata.leisurecloud.live,Birmingham City Council,SessionSeries,name,1.0,126
opendata.leisurecloud.live,Birmingham City Council,SessionSeries,description,0.0,126
opendata.leisurecloud.live,Birmingham City Council,SessionSeries,eventSchedule,1.0,126
opendata.leisurecloud.live,Birmingham City Council,SessionSeries,ageRange,0.0,126
opendata.leisurecloud.live,Birmingham City Council,SessionSeries,genderRestriction,0.6271,126
opendata.leisurecloud.live,Birmingham City Council,SessionSeries,level,0.0,126
opendata.leisurecloud.live,Birmingham City Council,SessionSeries,url,1.0,126
opendata.leisurecloud.live,Birmingham City Council,SessionSeries,attendeeInstructions,1.0,126
opendata.leisurecloud.live,Birmingham City Council,SessionSeries,superEvent,0.3729,126
opendata.leisurecloud.live,Birmingham City Council,ScheduledSession,activity,0.0,303
opendata.leisurecloud.live,Birmingham City Council,ScheduledSession,category,0.0,303
opendata.leisurecloud.live,Birmingham City Council,ScheduledSession,organizer,0.0,303
opendata.leisurecloud.live,Birmingham City Council,ScheduledSession,offers,0.0,303
opendata.leisurecloud.live,Birmingham City Council,ScheduledSession,location,0.0,303
opendata.leisurecloud.live,Birmingham City Council,ScheduledSession,name,0.0,303
opendata.leisurecloud.live,Birmingham City Council,ScheduledSession,description,0.0,303
opendata.leisurecloud.live,Birmingham City Council,ScheduledSession,eventSchedule,0.0,303
opendata.leisurecloud.live,Birmingham City Council,ScheduledSession,ageRange,0.0,303
opendata.leisurecloud.live,Birmingham City Council,ScheduledSession,genderRestriction,0.0,303
opendata.leisurecloud.live,Birmingham City Council,ScheduledSession,level,0.0,303
opendata.leisurecloud.live,Birmingham City Council,ScheduledSession,url,0.0,303
opendata.leisurecloud.live,Birmingham City Council,ScheduledSession,attendeeInstructions,0.0,303
opendata.leisurecloud.live,Birmingham City Council,ScheduledSession,superEvent,1.0,303
opendata.leisurecloud.live,Birmingham City Council,FacilityUse,activity,0.7,10
opendata.leisurecloud.live,Birmingham City Council,FacilityUse,category,1.0,10
opendata.leisurecloud.live,Birmingham City Council,FacilityUse,organizer,0.0,10
opendata.leisurecloud.live,Birmingham City Council,FacilityUse,offers,1.0,10
opendata.leisurecloud.live,Birmingham City Council,FacilityUse,location,1.0,10
opendata.leisurecloud.live,Birmingham City Council,FacilityUse,name,1.0,10
opendata.leisurecloud.live,Birmingham City Council,FacilityUse,description,0.0,10
opendata.leisurecloud.live,Birmingham City Council,FacilityUse,eventSchedule,0.0,10
opendata.leisurecloud.live,Birmingham City Council,FacilityUse,ageRange,0.0,10
opendata.leisurecloud.live,Birmingham City Council,FacilityUse,genderRestriction,0.0,10
opendata.leisurecloud.live,Birmingham City Council,FacilityUse,level,0.0,10
opendata.leisurecloud.live,Birmingham City Council,FacilityUse,url,1.0,10
opendata.leisurecloud.live,Birmingham City Council,FacilityUse,attendeeInstructions,0.9,10
opendata.leisurecloud.live,Birmingham City Council,FacilityUse,superEvent,0.0,10
opendata.leisurecloud.live,Birmingham City Council,Slot,activity,0.0,500
opendata.leisurecloud.live,Birmingham City Council,Slot,category,0.0,500
opendata.leisurecloud.live,Birmingham City Council,Slot,organizer,0.0,500
opendata.leisurecloud.live,Birmingham City Council,Slot,offers,1.0,500
opendata.leisurecloud.live,Birmingham City Council,Slot,location,0.0,500
opendata.leisurecloud.live,Birmingham City Council,Slot,name,0.0,500
opendata.leisurecloud.live,Birmingham City Council,Slot,description,0.0,500
opendata.leisurecloud.live,Birmingham City Council,Slot,eventSchedule,0.0,500
opendata.leisurecloud.live,Birmingham City Council,Slot,ageRange,0.0,500
opendata.leisurecloud.live,Birmingham City Council,Slot,genderRestriction,0.0,500
opendata.leisurecloud.live,Birmingham City Council,Slot,level,0.0,500
opendata.leisurecloud.live,Birmingham City Council,Slot,url,0.0,500
opendata.leisurecloud.live,Birmingham City Council,Slot,attendeeInstructions,0.0,500
opendata.leisurecloud.live,Birmingham City Council,Slot,superEvent,0.0,500
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,CourseInstance,activity,0.0,1
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,CourseInstance,category,1.0,1
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,CourseInstance,organizer,1.0,1
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,CourseInstance,offers,1.0,1
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,CourseInstance,location,1.0,1
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,CourseInstance,name,1.0,1
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,CourseInstance,description,0.0,1
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,CourseInstance,eventSchedule,0.0,1
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,CourseInstance,ageRange,0.0,1
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,CourseInstance,genderRestriction,0.0,1
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,CourseInstance,level,0.0,1
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,CourseInstance,url,0.0,1
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,CourseInstance,attendeeInstructions,1.0,1
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,CourseInstance,superEvent,0.0,1
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,SessionSeries,activity,0.0,500
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,SessionSeries,category,1.0,500
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,SessionSeries,organizer,1.0,500
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,SessionSeries,offers,0.998,500
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,SessionSeries,location,1.0,500
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,SessionSeries,name,1.0,500
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,SessionSeries,description,0.0,500
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,SessionSeries,eventSchedule,1.0,500
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,SessionSeries,ageRange,0.0,500
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,SessionSeries,genderRestriction,0.998,500
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,SessionSeries,level,0.0,500
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,SessionSeries,url,0.0,500
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,SessionSeries,attendeeInstructions,0.966,500
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,SessionSeries,superEvent,0.0,500
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,FacilityUse,activity,0.0,58
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,FacilityUse,category,1.0,58
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,FacilityUse,organizer,0.0,58
opendata.leisurecloud.live,Wigan Leisure and Culture Trust,FacilityUse,offers,1.0,58
